nfeatures,n_octave_layers,ratio_threshold,min_match_count,min_inliers,min_bbox_area,accuracy,tpr,fpr,tp,fp,fn,runtime
4000,3,0.65,10,6,25,0.6122448979591837,0.6976744186046512,0.16666666666666666,60,12,26,7.4813772269990295
4000,6,0.6,35,10,25,0.6105263157894737,0.6744186046511628,0.13432835820895522,58,9,28,19.319640568995965
1000,3,0.65,20,6,100,0.6082474226804123,0.686046511627907,0.15714285714285714,59,11,27,7.217384672003391
1000,3,0.65,20,10,25,0.6082474226804123,0.686046511627907,0.15714285714285714,59,11,27,7.385531886997342
1000,3,0.75,35,20,25,0.6082474226804123,0.686046511627907,0.15714285714285714,59,11,27,11.478979366002022
2000,3,0.6,35,6,100,0.6082474226804123,0.686046511627907,0.15714285714285714,59,11,27,6.455739874996652
2000,3,0.65,10,10,25,0.6082474226804123,0.686046511627907,0.15714285714285714,59,11,27,8.194268330997147
2000,3,0.75,35,10,100,0.6082474226804123,0.686046511627907,0.15714285714285714,59,11,27,9.317235887996503
4000,3,0.65,10,10,25,0.6082474226804123,0.686046511627907,0.15714285714285714,59,11,27,7.499081898997247
4000,3,0.65,20,20,25,0.6082474226804123,0.686046511627907,0.15714285714285714,59,11,27,7.342386500997236
4000,3,0.7,20,20,25,0.6082474226804123,0.686046511627907,0.15714285714285714,59,11,27,7.869037665994256
4000,3,0.75,35,6,25,0.6082474226804123,0.686046511627907,0.15714285714285714,59,11,27,8.7663929679984
4000,3,0.75,35,10,100,0.6082474226804123,0.686046511627907,0.15714285714285714,59,11,27,11.987063919994398
2000,3,0.7,20,6,25,0.6060606060606061,0.6976744186046512,0.1780821917808219,60,13,26,9.346107999001106
4000,3,0.7,10,6,25,0.6060606060606061,0.6976744186046512,0.1780821917808219,60,13,26,8.696776261000196
4000,3,0.75,10,10,100,0.6060606060606061,0.6976744186046512,0.1780821917808219,60,13,26,9.898619178995432
1000,3,0.65,20,6,25,0.6041666666666666,0.6744186046511628,0.14705882352941177,58,10,28,7.219924665005237
2000,3,0.75,35,10,25,0.6041666666666666,0.6744186046511628,0.14705882352941177,58,10,28,9.444706141999632
2000,4,0.6,20,6,100,0.6041666666666666,0.6744186046511628,0.14705882352941177,58,10,28,11.71638544700545
4000,3,0.65,35,6,25,0.6041666666666666,0.6744186046511628,0.14705882352941177,58,10,28,6.403088029001083
4000,6,0.6,35,6,100,0.6041666666666666,0.6744186046511628,0.14705882352941177,58,10,28,20.62361813699681
1000,3,0.7,10,10,100,0.6020408163265306,0.686046511627907,0.16901408450704225,59,12,27,10.50525887600088
1000,3,0.7,10,20,100,0.6020408163265306,0.686046511627907,0.16901408450704225,59,12,27,10.429272633999062
2000,3,0.7,10,6,100,0.6020408163265306,0.686046511627907,0.16901408450704225,59,12,27,9.667123833001824
2000,3,0.75,10,6,25,0.6020408163265306,0.686046511627907,0.16901408450704225,59,12,27,10.370823689001554
4000,3,0.65,10,6,100,0.6020408163265306,0.686046511627907,0.16901408450704225,59,12,27,7.559733713998867
4000,3,0.75,35,6,100,0.6020408163265306,0.686046511627907,0.16901408450704225,59,12,27,12.042926873000397
1000,3,0.75,10,10,100,0.6,0.6976744186046512,0.1891891891891892,60,14,26,11.27772693499719
1000,3,0.75,10,20,25,0.5979381443298969,0.6744186046511628,0.15942028985507245,58,11,28,11.217349632002879
1000,6,0.6,35,10,100,0.5979381443298969,0.6744186046511628,0.15942028985507245,58,11,28,15.775907957002346
2000,3,0.65,20,10,25,0.5979381443298969,0.6744186046511628,0.15942028985507245,58,11,28,8.67179211400071
2000,3,0.75,35,6,100,0.5979381443298969,0.6744186046511628,0.15942028985507245,58,11,28,9.59396944600303
1000,3,0.65,10,6,100,0.5959595959595959,0.686046511627907,0.18055555555555555,59,13,27,7.489390436996473
1000,3,0.7,20,6,25,0.5959595959595959,0.686046511627907,0.18055555555555555,59,13,27,10.289499236001575
1000,3,0.75,10,6,100,0.5959595959595959,0.686046511627907,0.18055555555555555,59,13,27,11.722100044004037
1000,3,0.75,35,6,25,0.5959595959595959,0.686046511627907,0.18055555555555555,59,13,27,9.803943127997627
1000,6,0.7,35,20,100,0.5959595959595959,0.686046511627907,0.18055555555555555,59,13,27,15.61226950299897
4000,3,0.75,20,10,100,0.5959595959595959,0.686046511627907,0.18055555555555555,59,13,27,9.836108863004483
2000,3,0.75,20,20,100,0.59375,0.6627906976744186,0.14925373134328357,57,10,29,10.792829336998693
4000,3,0.75,10,20,100,0.59375,0.6627906976744186,0.14925373134328357,57,10,29,9.849890115001472
4000,4,0.6,35,10,100,0.59375,0.6627906976744186,0.14925373134328357,57,10,29,15.648306676004722
1000,3,0.7,35,6,25,0.5918367346938775,0.6744186046511628,0.17142857142857143,58,12,28,7.770541502002743
1000,3,0.75,10,20,100,0.5918367346938775,0.6744186046511628,0.17142857142857143,58,12,28,12.369252851996862
1000,3,0.75,35,10,25,0.5918367346938775,0.6744186046511628,0.17142857142857143,58,12,28,9.32810215599602
1000,3,0.75,35,10,100,0.5918367346938775,0.6744186046511628,0.17142857142857143,58,12,28,9.822011610995105
1000,4,0.6,35,20,100,0.5918367346938775,0.6744186046511628,0.17142857142857143,58,12,28,10.36279449200083
2000,3,0.75,20,10,25,0.5918367346938775,0.6744186046511628,0.17142857142857143,58,12,28,11.405913539005269
2000,4,0.6,10,10,100,0.5918367346938775,0.6744186046511628,0.17142857142857143,58,12,28,12.631054477998987
2000,4,0.6,20,20,25,0.5918367346938775,0.6744186046511628,0.17142857142857143,58,12,28,12.639421381005377
1000,6,0.6,20,6,100,0.59,0.686046511627907,0.1917808219178082,59,14,27,15.37029027200333
2000,6,0.7,10,20,100,0.59,0.686046511627907,0.1917808219178082,59,14,27,16.674473261999083
4000,6,0.6,20,20,100,0.59,0.686046511627907,0.1917808219178082,59,14,27,20.480143017004593
1000,4,0.6,10,20,25,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,12.760596326996165
1000,4,0.6,10,20,100,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,12.134185185997922
1000,4,0.6,20,6,25,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,11.873022386003868
1000,4,0.6,20,10,100,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,11.898801764000382
1000,4,0.6,20,20,25,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,11.755185955000343
1000,4,0.6,20,20,100,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,11.734664463001536
1000,4,0.6,35,6,25,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,10.13393051699677
1000,6,0.6,35,6,25,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,15.587949376000324
1000,6,0.6,35,6,100,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,15.495718840997142
1000,6,0.6,35,20,25,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,14.712257822997344
